id,term,category,weight
1323,elf,100,47
1324,dragon,100,8122
1325,hidden,100,172
1326,monsters,100,90
1327,quest,100,297
1328,train,100,4243
1329,moving,100,1077
1330,startin,100,107
1331,warrior,100,61
1332,puff,100,218
1333,castle,100,3089
1334,kai,100,181
1335,sticking,101,110
1336,bleed,101,193
1337,salon,101,224
1338,managed,101,340
1339,numb,101,147
1340,clip,101,83
1341,bleeding,101,1090
1342,wound,101,69
1343,cuts,101,91
1344,scissors,101,95
1345,ouch,101,1355
1346,pinky,101,682
1347,palm,101,124
1348,thumbs,101,122
1349,skin,101,473
1350,heels,101,110
1351,polish,101,2343
1352,helpless,101,80
1353,glue,101,204
1354,hammer,101,447
1355,arm,101,435
1356,ripping,101,45
1357,stitches,101,682
1358,tore,101,89
1359,index,101,231
1360,cut,101,4007
1361,thumb,101,2091
1362,pedicure,101,96
1363,glitter,101,61
1364,tip,101,761
1365,fingers,101,688
1366,incident,101,33
1367,stepped,101,256
1368,forehead,101,194
1369,infected,101,112
1370,finger,101,5895
1371,typing,101,123
1372,inch,101,746
1373,burned,101,698
1374,injury,101,62
1375,tool,101,123
1376,knife,101,309
1377,toe,101,4131
1378,injured,101,97
1379,ripped,101,457
1380,toes,101,838
1381,sucking,101,145
1382,razor,101,34
1383,painted,101,130
1384,smashing,101,34
1385,nails,101,2507
1386,needle,101,95
1387,crushed,101,148
1388,hand,101,2112
1389,ow,101,333
1390,slipped,101,82
